# time	flux	flux_err	flux_column=pdcsap_flux
4.073995445910612489e+03	9.990158081054687500e-01	8.143489685608074069e-05
4.073996834916164971e+03	9.995556473731994629e-01	8.146274922182783484e-05
4.073998223921717454e+03	9.993021488189697266e-01	8.143840386765077710e-05
4.073999612927385897e+03	9.997426867485046387e-01	8.145528408931568265e-05
4.074001001932938834e+03	1.000071287155151367e+00	8.147773769451305270e-05
4.074002390938491317e+03	1.000388741493225098e+00	8.148459892254322767e-05
4.074003779944042890e+03	1.000755906105041504e+00	8.150059875333681703e-05
4.074005168949710878e+03	1.000415563583374023e+00	8.147300104610621929e-05
4.074006557955262906e+03	1.000518679618835449e+00	8.147059998009353876e-05
4.074007946960815843e+03	1.000533223152160645e+00	8.147471817210316658e-05
4.074009335966483832e+03	1.000585079193115234e+00	8.147340849973261356e-05
4.074010724972036314e+03	1.000524997711181641e+00	8.147591870510950685e-05
4.074012113977705212e+03	1.000821352005004883e+00	8.148649794748052955e-05
4.074013502983257240e+03	1.000338196754455566e+00	8.146811160258948803e-05
4.074014891988925683e+03	1.000185847282409668e+00	8.146632171701639891e-05
4.074016280994594581e+03	9.997481703758239746e-01	8.146193431457504630e-05
4.074017670000147064e+03	9.996685385704040527e-01	8.145905303535982966e-05
4.074019059005815507e+03	9.997786283493041992e-01	8.145242463797330856e-05
4.074020448011484405e+03	9.994391202926635742e-01	8.143573359120637178e-05
4.074021837017152848e+03	9.991436600685119629e-01	8.143341983668506145e-05
4.074023226022704421e+03	9.995353817939758301e-01	8.144848106894642115e-05
4.074024615028373319e+03	9.992238879203796387e-01	8.143365266732871532e-05
4.074026004034042671e+03	9.992836713790893555e-01	8.142984006553888321e-05
4.074027393039711114e+03	9.994245767593383789e-01	8.143459854181855917e-05
4.074028782045379103e+03	9.997302889823913574e-01	8.144717139657586813e-05
4.074030171051048001e+03	9.994989633560180664e-01	8.143483137246221304e-05
4.074031560056716899e+03	9.997614622116088867e-01	8.145224273903295398e-05
4.074032949062385342e+03	1.000069022178649902e+00	8.145639731083065271e-05
4.074034338068053785e+03	9.999667406082153320e-01	8.144560706568881869e-05
4.074035727073839098e+03	1.000304818153381348e+00	8.146285836119204760e-05
4.074037116079507086e+03	1.000272154808044434e+00	8.145877654897049069e-05
4.074038505085175530e+03	9.999081492424011230e-01	8.144113235175609589e-05
4.074039894090844427e+03	9.998393058776855469e-01	8.143462036969140172e-05
4.074041283096630195e+03	1.000153899192810059e+00	8.145930041791871190e-05
4.074042672102298184e+03	1.000088453292846680e+00	8.145643369061872363e-05
4.074044061107967082e+03	9.995674490928649902e-01	8.141907892422750592e-05
4.074045450113752395e+03	9.997820258140563965e-01	8.143368904711678624e-05
4.074046839119420838e+03	9.995202422142028809e-01	8.142497972585260868e-05
