# time	flux	flux_err	flux_column=pdcsap_flux
1.764687829326707970e+03	1.005066871643066406e+00	2.069056608888786286e-05
1.764689218248987345e+03	1.005829930305480957e+00	2.069993388431612402e-05
1.764690607171499323e+03	1.006309509277343750e+00	2.070466689474415034e-05
1.764691996093779153e+03	1.007444143295288086e+00	2.071637572953477502e-05
1.764693385016059210e+03	1.007979869842529297e+00	2.072290226351469755e-05
1.764694773938338358e+03	1.008376359939575195e+00	2.072768256766721606e-05
1.764696162860617505e+03	1.008988380432128906e+00	2.073490395559929311e-05
1.764697551782896880e+03	1.009409785270690918e+00	2.074010262731462717e-05
1.764698940704943197e+03	1.009923696517944336e+00	2.074497569992672652e-05
1.764700329627222573e+03	1.009935736656188965e+00	2.074591975542716682e-05
1.764701718549501720e+03	1.010250329971313477e+00	2.074736948998179287e-05
1.764703107471548719e+03	1.010447263717651367e+00	2.075081101793330163e-05
1.764704496393828549e+03	1.010648846626281738e+00	2.075308839266654104e-05
1.764705885316107924e+03	1.010549783706665039e+00	2.075359589071013033e-05
1.764707274238154241e+03	1.010258913040161133e+00	2.075208794849459082e-05
1.764708663160200786e+03	1.010004639625549316e+00	2.075006159429904073e-05
1.764710052082479933e+03	1.009753227233886719e+00	2.074872099910862744e-05
1.764711441004526250e+03	1.009572386741638184e+00	2.074458097922615707e-05
1.764712829926572567e+03	1.009127378463745117e+00	2.074237090710084885e-05
1.764714218848618884e+03	1.008560299873352051e+00	2.073809810099191964e-05
1.764715607770898941e+03	1.008217215538024902e+00	2.073407631542067975e-05
1.764716996692945941e+03	1.007495164871215820e+00	2.072563438559882343e-05
1.764718385614992940e+03	1.006819367408752441e+00	2.072212555503938347e-05
1.764719774537040166e+03	1.005960941314697266e+00	2.071145172521937639e-05
1.764721163458853653e+03	1.005169630050659180e+00	2.070730624836869538e-05
1.764722552380899970e+03	1.004151225090026855e+00	2.069705806206911802e-05
1.764723941302946514e+03	1.003678679466247559e+00	2.069113179459236562e-05
1.764725330224992831e+03	1.002390742301940918e+00	2.068068170046899468e-05
1.764726719146807000e+03	1.001622915267944336e+00	2.067237619485240430e-05
1.764728108068854226e+03	1.000489473342895508e+00	2.066194974759127945e-05
1.764729496990900543e+03	9.996846914291381836e-01	2.065450644295196980e-05
1.764730885912714029e+03	9.988823533058166504e-01	2.064674663415644318e-05
1.764732274834760574e+03	9.978104233741760254e-01	2.063597821688745171e-05
1.764733663756574060e+03	9.967973828315734863e-01	2.062756539089605212e-05
1.764735052678387774e+03	9.960194826126098633e-01	2.061570739897433668e-05
1.764736441600201260e+03	9.952156543731689453e-01	2.061095256067346781e-05
1.764737830522248260e+03	9.943374991416931152e-01	2.060278347926214337e-05
1.764739219444062428e+03	9.934871196746826172e-01	2.059262260445393622e-05
1.764740608365876142e+03	9.930747151374816895e-01	2.058627615042496473e-05
1.764741997287689628e+03	9.921512007713317871e-01	2.057811070699244738e-05
1.764743386209503115e+03	9.913911223411560059e-01	2.057157507806550711e-05
1.764744775131316828e+03	9.906340241432189941e-01	2.056502489722333848e-05
1.764746164053130315e+03	9.901643395423889160e-01	2.056120501947589219e-05
1.764747552974943801e+03	9.896079897880554199e-01	2.055478216789197177e-05
1.764748941896525366e+03	9.892218708992004395e-01	2.054855212918482721e-05
1.764750330818339535e+03	9.888538718223571777e-01	2.054579454124905169e-05
1.764751719740153021e+03	9.883869290351867676e-01	2.054398646578192711e-05
1.764753108661733904e+03	9.881051182746887207e-01	2.053956450254190713e-05
1.764754497583547391e+03	9.879881143569946289e-01	2.053736716334242374e-05
1.764755886505128046e+03	9.878629446029663086e-01	2.053784191957674921e-05
1.764757275426941533e+03	9.879915714263916016e-01	2.053810203506145626e-05
1.764758664348522416e+03	9.882383346557617188e-01	2.053767821053043008e-05
1.764760053270103754e+03	9.880229830741882324e-01	2.053915704891551286e-05
1.764761442191918150e+03	9.881442785263061523e-01	2.054192555078770965e-05
1.764762831113498805e+03	9.884613156318664551e-01	2.054195647360756993e-05
1.764764220035079461e+03	9.887040853500366211e-01	2.054875585599802434e-05
1.764765608956660117e+03	9.890670180320739746e-01	2.055098229902796447e-05
1.764766997878241000e+03	9.896485805511474609e-01	2.055698132608085871e-05
1.764768386799821656e+03	9.902005791664123535e-01	2.056120501947589219e-05
1.764769775721402311e+03	9.907353520393371582e-01	2.056725315924268216e-05
1.764771164642983194e+03	9.914947152137756348e-01	2.057527672150172293e-05
